"site_name","url","question","answer","category","internal_link","link"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","Why upgrade to an Acrobat Studio subscription?","An upgrade to the Acrobat Studio subscription gives you access to powerful cloud-based features in Acrobat Pro, unlimited access to AI Assistant and PDF Spaces, enhanced productivity options, and unlimited access to creation workflows powered by Adobe Express. Work smarter across devices Edit, convert, and sign PDFs on desktop, mobile, or web. Stay connected with Adobe cloud storage and 100GB of secure storage. Track, manage, and receive notifications for shared documents. Use AI Assistant and PDF Spaces to consolidate your files to ask questions, summarize content, compare documents, and create new material, all with the power of AI. Boost collaboration and efficiency Collect feedback with a single shared PDF link. View document status, send reminders, and cancel requests. Start SharePoint-based reviews on macOS. Microsoft SharePoint access is not included. Unlock insights quickly with PDF Spaces. Enhance editing and productivity Fill and sign forms faster with auto form recognition. Compare two PDFs instantly with the Compare files tool. Work more efficiently with multi-tab viewing and better text editing. Edit and generate images with more creative control, with the power of Adobe Express. Mobile and web benefits Create, edit, and organize PDFs on iOS or Android. Scan documents using your mobile camera. Check the Acrobat product comparison page to find the best purchase option for Adobe Acrobat.","Acrobat basics","1","Plans and pricing for Adobe Acrobat."
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","What is Adobe Acrobat?","Acrobat is a productivity and collaboration platform that brings together powerful PDF tools, AI features, content creation, and seamless sharing to help you get your best work done. With an Acrobat desktop subscription, you get access to Acrobat desktop software, Acrobat online tools, the Acrobat Reader mobile app, and the Adobe Scan app ? all so you can work more securely and efficiently from almost anywhere, on any device.","Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","What's the difference between Acrobat Standard, Acrobat Pro, and Acrobat Studio?","Acrobat Standard includes basic PDF features, allowing you to: Edit and organize PDFs Convert documents to and from PDF Fill out forms, sign documents, and request e-signatures Password-protect files Acrobat Pro includes everything in Acrobat Standard, plus enhanced PDF tools and e-signature capabilities. With these advanced features, you can: Turn scanned documents into editable, searchable PDFs Compare PDFs to review differences Redact sensitive information from PDFs Brand your agreements by adding a logo and custom URL Create web forms and reusable e-sign templates Receive and track multiple e-signatures by sending in bulk Acrobat Studio includes everything in Acrobat Pro, plus AI Assistant for Acrobat and Adobe Express Premium. Additional features include: Chat with your documents and get fast answers Summarize documents with one click Ask questions using voice prompts on your mobile device Unlock insights across PDFs, Microsoft 365 files, and web links with PDF Spaces Easily create standout content with templates in Adobe Express Share a PDF Space with a prebuilt or personalized AI Assistant You can see how the Acrobat offerings compare.","Questions? We have answers.","1","Compare Acrobat plans."
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","What's included in my Acrobat desktop subscription?","Your subscription to Acrobat includes desktop software, online access, and mobile apps, letting you effortlessly sync files across computers and devices. Acrobat desktop software: Use Acrobat on your desktop, with tools to edit, convert, protect, and sign documents. You can also integrate Acrobat with other productivity tools. Acrobat online: Use PDF and e-signature tools in any web browser. Our prebuilt integrations for Microsoft OneDrive, Google Drive, and more make it easy to store and share files online. You can even send documents for e-signature and track responses in real time. Acrobat Reader mobile app: The world's most trusted PDF reader and editor with more than 635 million installs. View, share, annotate, add comments, and sign documents ? all in one app. Acrobat Scan mobile app: Turn your mobile device into a powerful scanner that recognizes text automatically (OCR) and allows you to create, save, and organize your paper documents as digital files.","Questions? We have answers.","1","other productivity tools"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","How does a subscription work?","When you subscribe to Acrobat Studio, Acrobat Pro, or Acrobat Standard, you pay a monthly or annual fee based on the plan you choose. Regular updates will ensure you have the latest features available in Acrobat. You will not need to upgrade your product as long as your subscription is active.","Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","Is there a perpetual version of Acrobat available?","No. Adobe discontinued selling perpetual versions of Acrobat after Acrobat 2020. However, if you would like a non-subscription version of Acrobat, Acrobat Pro 2024 desktop software is a one-time, upfront purchase that provides three years of access to Acrobat desktop. It includes quarterly security updates but does not include Acrobat feature enhancements or access to Acrobat online services via your web browser and mobile devices.","Questions? We have answers.","1","Get 20+ Creative Cloud apps and Adobe Firefly creative AI., does not include Acrobat feature enhancements"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","What are the minimum system requirements to run Acrobat?","See the Acrobat system requirements page for information.","Questions? We have answers.","1","Acrobat system requirements page"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","In what languages is Acrobat available?","See the Acrobat system requirements page for information.","Questions? We have answers.","1","Acrobat system requirements page"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","What's the best way for my business to purchase Acrobat subscriptions?","Adobe offers plans for businesses of all sizes. For small businesses, Acrobat Teams subscriptions make it easy to purchase and manage multiple licenses through a centralized admin console. For larger organizations with more complex deployment and administrative needs, volume licensing options are available. Request a contact from Adobe's sales team, or contact an Adobe Authorized Reseller. To learn more, visit the Acrobat for business page.","Questions? We have answers.","1","Request a contact from Adobe's sales team, Solutions for businesses of all sizes."
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","What makes Acrobat a great collaboration tool?","Acrobat gives you seamless and highly secure sharing, real-time commenting, and PDF tools that make collaborating on documents easier than ever. You can create knowledge hubs in PDF Spaces where the entire team can add files and work together to build strong work. Custom AI agents come in handy to help you guide AI Assistant to provide the direction and output you need to push your project forward.","Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","What's the best way to integrate document workflows with cloud storage?","The best way to integrate document workflows with cloud storage is by using Acrobat's built-in support for popular cloud services. Acrobat works seamlessly with: Acrobat Document Cloud: Access your files from anywhere, send links for review, and sync changes across devices. Third-party cloud storage: Connect to OneDrive, Google Drive, Dropbox, Box, and more directly within Acrobat. Users can open and save files from cloud storage without leaving Acrobat ? no need to download or upload manually. Real-time collaboration is enabled by sharing cloud-stored PDFs with others for commenting and review. Files can be organized and stored securely using version history and permission controls supported by your cloud provider.","Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","How can Acrobat automate my PDF tasks?","Acrobat helps automate your PDF workflows by streamlining repetitive tasks and reducing manual effort through built-in tools and integrations. Key automation features include: Action Wizard (in Acrobat Pro): Create and run custom sequences of tasks, like OCR, redaction, watermarking and file conversion on multiple PDFs at once. Batch processing: Apply the same edits, optimizations, or security settings across multiple documents automatically. Cloud-based workflows: Use Acrobat online and Adobe Document Cloud to send, sign, and track documents from anywhere with automated notifications and reminders. Integrations with Microsoft 365 and other apps: Automate PDF creation, editing, and signing directly within tools you already use. AI-powered features: Auto-tagging for accessibility, content recognition, and smart form field detection to reduce setup time.","Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/pricing/pricing-compare-plans.html","How do I streamline my document review process with Acrobat?","Acrobat makes it easy to manage and automate document review and collaboration, reducing the need for back-and-forth emails and manual edits. With Acrobat, you can: Share PDFs for review via a secure link, no attachments needed. Collect comments in one place, in real time, from multiple reviewers. Use automatic version tracking to keep everyone on the same page. Receive notifications when reviewers add feedback or complete their review. Work seamlessly with Microsoft Teams and Outlook to manage reviews within your existing workflow. Use AI Assistant to quickly review content and contracts, compare document versions, generate summaries, uncover insights and key data, and more.","Questions? We have answers.","0","NA"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","Which products make up the Adobe Acrobat family of software?","Adobe Acrobat offers the following desktop, mobile, and web services supported by Adobe cloud storage: On desktop: Adobe Acrobat Studio Adobe Acrobat Pro Adobe Acrobat Standard (Windows only) Adobe Acrobat Reader On mobile: Adobe Acrobat Reader for Android, iOS, or Windows Phone Adobe Acrobat Sign for Android or iOS Adobe Scan for Android or iOS On web: Adobe Acrobat Studio Adobe Acrobat Pro Adobe Acrobat web extension (Google Chrome & Microsoft Edge) Adobe Acrobat on the web Check the Acrobat product comparison page to find the best purchase option for Adobe Acrobat.","Acrobat basics","1","More than just a PDF app., Simple tools. Powerful PDFs., Adobe Acrobat Reader, the original PDF solution., A mobile PDF experience built to keep business moving."
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","What is Adobe Acrobat Reader?","Adobe Acrobat Reader software is the free, trusted global standard for viewing, printing, signing, sharing, and annotating PDFs. It's the only PDF viewer that can open and interact with all types of PDF content ? including forms and multimedia. And now, it's connected to Adobe Document Cloud services ? so you can work with PDFs on any device, from anywhere.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Is Acrobat Reader free?","Yes. Acrobat Reader is free desktop software available on the Reader download page or wherever you see the Get Adobe Acrobat Reader icon.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Reader download page"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","How do I download free Acrobat Reader desktop and mobile apps?","You can easily download free Adobe Acrobat Reader apps for multiple operating systems and devices: Desktop app: Visit the Acrobat Reader download page to get Reader for your desktop. Once there, you can select your language, operating system, and connection speed. Mobile app: To download this app, visit the Google Play or the Apple App Store. You can also download the latest version of the mobile app for Windows Phone devices.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Acrobat Reader download page, Adobe Acrobat Reader pour PDF, A mobile PDF experience built to keep business moving., Windows Phone"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Do I need Acrobat Studio, Acrobat Pro, or Acrobat Standard to use Acrobat Reader?","No. Acrobat Reader is a free, stand-alone application that you can use to open, view, sign, print, annotate, search, and share PDF files. Acrobat Pro and Acrobat Standard are paid products that are part of the same family. See the Acrobat product comparison to explore the differences.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Compare Acrobat plans."
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","What desktop operating system does Acrobat Reader support?","Acrobat Reader desktop software runs on both Windows and Mac operating systems. Download Reader desktop software now, or read system requirements.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Download Reader desktop software, Technical requirements"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","What languages does Acrobat Reader work in?","Learn about language support on the system requirements page.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Technical requirements"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Is Acrobat Reader available on mobile devices?","Just like Reader on the desktop, Acrobat Reader for mobile is free and continues to offer the industry's most reliable mobile experience for viewing and interacting with PDFs. And now, with the addition of Adobe Document Cloud services, you can unlock premium features within the app to do more with PDFs when you purchase a subscription to Adobe Acrobat PDF Pack or Adobe Acrobat Export PDF? as well as Adobe Acrobat Pro. Visit the Google Play or the Apple App Store to get Android and iOS versions, respectively. You can also download the latest version of the mobile app for Windows Phone device.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Your daily tasks won't change. The way you handle them will., Export all the PDFs you want., Do even more with your PDFs., Adobe Acrobat Reader pour PDF, A mobile PDF experience built to keep business moving."
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","What commenting tools are available in Acrobat Reader?","Reader makes it easy to annotate PDF documents. With Reader on your desktop, you can: annotate PDFs using sticky notes; type text directly onto the page; highlight, underline, or use strikethrough tools; and draw on the screen with the freehand drawing tool. The same commenting tools are also available in Acrobat Reader for mobile.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Can I fill out and save forms with Acrobat Reader?","Yes. The Fill & Sign tool automatically recognizes whether your PDF has fillable form fields or not and takes you to an intuitive filling experience, powered by Adobe Sensei, to get the job done quickly and easily. With a fillable form, it's easy to type your answers or select from drop-down lists, then save your completed form. When working with simple PDFs that haven't been optimized with form fields, you can click anywhere and type answers right onto the form ? or you can accept suggestions from your personal autofill collection. When you're done, you can save your changes and send the completed form to others. Using the Adobe Acrobat Reader mobile app, you can do the same tasks on your iOS or Android devices too. To download the Adobe Acrobat Reader mobile app, visit Google Play or the Apple App Store.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Adobe Acrobat Reader pour PDF, A mobile PDF experience built to keep business moving."
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Can I sign documents and forms electronically with Acrobat Reader?","Yes. The Fill & Sign tool, powered by Adobe Acrobat Sign, makes it easy to sign documents and forms. Just open any PDF file, sign by typing or drawing your signature, or using an image. Using the Adobe Acrobat Reader mobile app, you can do the same tasks on your iOS or Android devices too. To download the Adobe Acrobat Reader mobile app, visit Google Play or the Apple App Store. You can also fill and sign forms using your web browser.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Adobe Acrobat Reader pour PDF, A mobile PDF experience built to keep business moving."
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Can I collect signatures from others and manage signed documents in Acrobat Reader?","Yes. Acrobat Reader provides a limited number of signatures you can request using the Fill & Sign tool, without purchasing a subscription to Acrobat Pro, Adobe Acrobat PDF Pack, or Adobe Acrobat Sign. If you exceed the allowance of free signature transactions, you can subscribe to one of the various Document Cloud solutions to request even more signatures. Existing customers of Acrobat Sign can use Acrobat Sign mobile app to do the same on Android or iOS. To download the app for free, visit Google Play or the Apple App Store. You can also send files for signature using your web browser.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Adobe Acrobat Sign"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Can I edit a PDF file using Acrobat Reader?","No. You cannot make permanent changes to text or images inside PDF files using Acrobat Reader. To edit PDF files, purchase Adobe Acrobat software. If you have a subscription to Adobe Acrobat, you can also edit PDFs from the Adobe Acrobat Reader tablet app.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Plans and pricing for Adobe Acrobat."
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","What is Protected Mode?","To protect you and your organization from malicious code that attempts to use the PDF format to write to - or read from - a computer's file system, Adobe delivers an implementation of ""sandboxing"" technology called Protected Mode. Enabled by default in Acrobat Reader, Protected Mode protects against attackers who attempt to install malware on your computer system and blocks malicious individuals from accessing ? and extracting ? sensitive data and intellectual property from your computer or corporate network.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","How can I help control access to sensitive information?","Security settings and access privileges for a PDF file cannot be set in Reader; however, they can be set using Adobe Acrobat software. With security settings, authors can define who can open, view, print, copy, or modify a document. These capabilities help organizations protect the confidentiality of sensitive information. With access privileges, authors can define a password that users will need to open the document, or they can use a certificate ID to encrypt the document so select recipients can open it by entering their own, unique certificate IDs.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","0","NA"
"Adobe","https://acrobat.adobe.com/us/en/products/pdf-reader.html","Are Adobe Document Cloud services secure?","Yes. At Adobe, security practices are deeply ingrained into our internal culture, software development, as well as service operations processes. Whether related to identity management, data confidentiality, or document integrity, Adobe Document Cloud services employ leading-edge security practices to protect your documents, data, and personal identifiable information to the highest degree possible. For additional information about our company security practices, the Adobe Secure Product Lifecycle, or Adobe Document Cloud solution security, see the Adobe Security pages on adobe.com.","Get Acrobat Reader, the original PDF solution., Questions? We have answers.","1","Adobe Security"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","How does product activation work in Acrobat?","Activation ensures your Adobe software is genuine and used per the license agreement, protecting both you and Adobe. Acrobat automatically activates online without transmitting personal data. A single-user license allows installation on two computers. For offline activation, IT admins can use the Adobe Customization Wizard. Learn more about Adobe apps activation.","Acrobat basics","1","Your company's favorite way to PDF ? eSign and more with Acrobat for business., Learn more about Adobe apps activation"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","What are the minimum system requirements and supported languages for Acrobat?","Check Acrobat technical specifications for system requirements and supported languages.","Acrobat basics","1","Acrobat technical specifications"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","What can I do with an Acrobat Pro subscription on the web?","With an Acrobat Pro subscription, you can access PDF tools directly from Acrobat on the web: Create PDFs ? Convert documents, images, or scans into PDFs. Edit PDFs ? Add or modify text and images. Export PDFs ? Convert PDFs to Word, Excel, or PowerPoint. Organize PDFs ? Reorder, delete, or rotate pages. Combine PDFs ? Merge multiple files into one. Share & Review ? Send a single link for feedback tracking. Fill & Sign ? Complete and e-sign forms digitally. Send for Signature ? Request, track, and manage e-signatures. Store & Access Files ? Securely save documents to Adobe cloud storage with up to 100GB storage.","Acrobat on the web","0","NA"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","Do I need to be online to use Acrobat?","The first time you open Acrobat desktop software, you'll need an Internet connection for software activation. After that, you'll be able to work offline with ease. If you purchase a subscription, you'll be asked to log in periodically to verify your credentials (every 30 days if you have a monthly plan versus 99 days with an annual plan). Sending a document for e-signature with Acrobat Sign and sharing PDFs with others requires an online connection.","Acrobat on the web","0","NA"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","My company won't let me run software in the Cloud, but I still need Acrobat. What should I do?","Acrobat desktop software doesn't run in the cloud ? it is locally installed software running on your desktop. It can connect to Acrobat online services to provide a richer array of features and capabilities. However, if your company prohibits software that connects to the cloud, talk to your IT administrator. Acrobat settings can be customized to remove access to the Cloud services. Learn more about IT resources.","Acrobat on the web","1","Your company's favorite way to PDF ? eSign and more with Acrobat for business."
"Adobe","https://helpx.adobe.com/acrobat/faq.html","Is Adobe Cloud secure?","Yes. At Adobe, the security of your digital experiences is our priority. Industry-standard security practices are deeply ingrained into our internal culture, software development, as well as service operations processes. Whether related to identity management, data confidentiality, or document integrity, Adobe Cloud employs industry-standard security practices to protect your documents, data, and personal information. For additional information about our security practices, the Adobe Secure Product Lifecycle, or Adobe Cloud solution security, please see www.adobe.com/security.","Acrobat on the web","1","Security"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","What languages do Adobe Acrobat online services and storage connections work in?","See the Adobe Acrobat online Language Tiers page for information.","Acrobat on the web","1","Adobe Document Cloud language tiers"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","What can I do with the Adobe Acrobat Reader mobile app?","The free Adobe Acrobat Reader mobile app makes it easy to view, annotate, fill, sign, and share PDF files from anywhere on your Android, iOS, or Windows devices. You'll also get Adobe Acrobat online features to do more with PDFs when you purchase a subscription to Adobe Acrobat Standard, Adobe Acrobat Pro, or Adobe Acrobat Studio. Download the Acrobat Reader mobile app from Google Play or iTunes App Store.","Acrobat on mobile","1","Adobe Acrobat Reader pour PDF, Adobe Acrobat Reader: Sign PDF"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","What is the Adobe Acrobat Sign mobile app, and how does it relate to Acrobat Reader for mobile?","The Adobe Acrobat Sign mobile app is a free mobile companion to Acrobat Sign, included with Acrobat Standard, Acrobat Pro, and enterprise plans. It lets you send, sign, track, and manage documents from your iOS or Android device, and is ideal for collecting in-person e-signatures. The app works independently of Acrobat Reader, and existing Acrobat Sign subscribers can download it from Google Play or iTunes App Store.","Acrobat on mobile","1","Adobe Acrobat Sign"
"Adobe","https://itunes.apple.com/us/app/id481082197","Why can't you use Apple Pencil?","Why can't you use Apple Pencil? 02/02/2020 Kevin7299 I'm not the type to give an app one star just because it lacks a single feature, but considering the app is called ?Fill and Sign? yet you can't use the Apple Pencil with it (easily/fully), I think three stars here is generous!I am a DC subscriber and yes, I have initials and a signature loaded up on the app, but if I'm with a client and both of us are needing to sign a single document this should be simply a matter of clicking some writing icon and then writing wherever the heck we want on the PDF - whether it's our signatures at the bottom or our initials on the side or in the text. Even filling out a form by hand with the Apple Pencil because it's quicker and easier than typing. To me this should all be part of any app named ?Fill and Sign? that runs on a device using Apple Pencil! I'm hearing this is a problem with the IOS app only, while on a Surface device everything's fine. If so, then please Adobe - please allow us iPad users to get full utility from this app! Thank you. :) MORE","Wasn't able to figure out how to adjust signature or add date, Ratings & Reviews","0","NA"
"Adobe","https://helpx.adobe.com/acrobat/faq.html","What is the Adobe Scan mobile app?","Adobe Scan is a free app that creates high-quality PDFs from papers and whiteboards with automatic text recognition. Powered by artificial intelligence in Adobe Sensei, Adobe Scan automatically enhances your scans, corrects perspective errors, detects boundaries, and automates workflows to help you get more done on the go.","Acrobat on mobile","0","NA"
